课程编号,课程名,课程版块类别,校区,老师,分类,类型,开课学院,学分
B2F050170,飞行器安全性与可靠性(全汉语),科技文明（名师研讨课）,学院路校区,傅惠民,核心通识类,必修,航空科学与工程学院,1
B2F050340,固体力学科研训练(全汉语),上课时间地点另行通知科技文明（名师研讨课）,学院路校区,郭早阳,核心通识类,必修,航空科学与工程学院,1
B2F100110,医工交叉研究与技术创新方法(全汉语),科技文明（名师研讨课）,学院路校区,樊瑜波|姚 杰,核心通识类,必修,生物与医学工程学院,1
B2F100110,医工交叉研究与技术创新方法(全汉语),科技文明（名师研讨课）,学院路校区,樊瑜波|姚 杰,核心通识类,必修,生物与医学工程学院,1
B2F100110,医工交叉研究与技术创新方法(全汉语),科技文明（名师研讨课）,学院路校区,樊瑜波|姚 杰,核心通识类,必修,生物与医学工程学院,1
B2F100110,医工交叉研究与技术创新方法(全汉语),科技文明（名师研讨课）,学院路校区,樊瑜波|姚 杰,核心通识类,必修,生物与医学工程学院,1
B2F100120,走近月宫一号(全汉语),科技文明（新生研讨课）,学院路校区,刘 红,核心通识类,必修,生物与医学工程学院,1
B2F110150,西方音乐史与名曲鉴赏(全汉语),人文素养,学院路校区,李爱华,核心通识类,必修,人文社会科学学院,2
B2F110240,动作语言分析与训练(全汉语),晨星剧场人文素养,学院路校区,井志伟,核心通识类,必修,人文社会科学学院,2
B2F120210,语义学(英汉双语),人文素养,学院路校区,王洪磊,核心通识类,必修,外国语学院,2
B2F130150,仿生交通导论(全汉语),科技文明（名师研讨课）,学院路校区,田大新,核心通识类,必修,交通科学与工程学院,2
B2F130190,道路与机场工程导论(全汉语),科技文明（专业研讨课）,学院路校区,李 峰,核心通识类,必修,交通科学与工程学院,2
B2F170140,谐振式传感器(全汉语),科技文明（专业研讨课）,学院路校区,樊尚春,核心通识类,必修,仪器科学与光电工程学院,2
B2F200150,证据法学(全汉语),社会科学,学院路校区,初殿清,核心通识类,必修,法学院,2
B2F200230,建设工程法(全汉语),社会科学,学院路校区,王天凡,核心通识类,必修,法学院,2
B2F241020,工业系统中的科学技术与实践一：智能机器人(英汉双语),科技文明（专业研讨课）,学院路校区,马纪明,核心通识类,必修,中法工程师学院,1
B2F241030,工业系统中的科学技术与实践二：机械机构建模(英汉双语),科技文明（专业研讨课）,学院路校区,马纪明,核心通识类,必修,中法工程师学院,1
B2F241040,工业系统中的科学技术与实践四：多旋翼无人机(英汉双语),科技文明（专业研讨课）,学院路校区,马纪明,核心通识类,必修,中法工程师学院,1
B2F270130,光电高分子材料与应用(全汉语),科技文明,学院路校区,霍利军,核心通识类,必修,化学学院,2
B2F290280,名师研讨课 法律与社会(全汉语),社会科学,学院路校区,李亚梅,核心通识类,必修,人文与社会科学高等研究院,1
